File,Run,Module,Name,
General-0.sca,General-0-20171124-17:36:36-32220,PacketBouncewithTCP.etherSwitch1.eth[0].queue.dataQueue,queueLength:max,1
General-0.sca,General-0-20171124-17:36:36-32220,PacketBouncewithTCP.etherSwitch1.eth[1].queue.dataQueue,queueLength:max,1
General-0.sca,General-0-20171124-17:36:36-32220,PacketBouncewithTCP.etherSwitch2.eth[0].queue.dataQueue,queueLength:max,1
General-0.sca,General-0-20171124-17:36:36-32220,PacketBouncewithTCP.etherSwitch2.eth[1].queue.dataQueue,queueLength:max,1
General-0.sca,General-0-20171124-17:36:36-32220,PacketBouncewithTCP.etherSwitch3.eth[0].queue.dataQueue,queueLength:max,1
General-0.sca,General-0-20171124-17:36:36-32220,PacketBouncewithTCP.etherSwitch3.eth[1].queue.dataQueue,queueLength:max,1
General-0.sca,General-0-20171124-17:36:36-32220,PacketBouncewithTCP.etherSwitch4.eth[0].queue.dataQueue,queueLength:max,1
General-0.sca,General-0-20171124-17:36:36-32220,PacketBouncewithTCP.etherSwitch4.eth[1].queue.dataQueue,queueLength:max,36
General-0.sca,General-0-20171124-17:36:36-32220,PacketBouncewithTCP.etherSwitch5.eth[0].queue.dataQueue,queueLength:max,1
General-0.sca,General-0-20171124-17:36:36-32220,PacketBouncewithTCP.etherSwitch5.eth[1].queue.dataQueue,queueLength:max,37
General-0.sca,General-0-20171124-17:36:36-32220,PacketBouncewithTCP.etherSwitch6.eth[0].queue.dataQueue,queueLength:max,1
General-0.sca,General-0-20171124-17:36:36-32220,PacketBouncewithTCP.etherSwitch6.eth[1].queue.dataQueue,queueLength:max,28
General-0.sca,General-0-20171124-17:36:36-32220,PacketBouncewithTCP.etherSwitch7.eth[0].queue.dataQueue,queueLength:max,2
General-0.sca,General-0-20171124-17:36:36-32220,PacketBouncewithTCP.etherSwitch7.eth[1].queue.dataQueue,queueLength:max,2
General-0.sca,General-0-20171124-17:36:36-32220,PacketBouncewithTCP.etherSwitch7.eth[2].queue.dataQueue,queueLength:max,2
General-0.sca,General-0-20171124-17:36:36-32220,PacketBouncewithTCP.etherSwitch7.eth[3].queue.dataQueue,queueLength:max,100
